INFO 2025-04-27 22:38:46,260 autoreload Watching for file changes with StatReloader
DEBUG 2025-04-27 22:38:46,410 autoreload File E:\python3_7_9\Lib\dis.py first seen with mtime 1597658264.0
DEBUG 2025-04-27 22:38:46,410 autoreload File E:\python3_7_9\Lib\site-packages\django\template\context.py first seen with mtime 1732347814.839218
DEBUG 2025-04-27 22:38:46,411 autoreload File E:\python3_7_9\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1692672925.434181
DEBUG 2025-04-27 22:38:46,411 autoreload File E:\python3_7_9\Lib\site-packages\pyparsing\unicode.py first seen with mtime 1692672936.3772345
DEBUG 2025-04-27 22:38:46,411 autoreload File E:\python3_7_9\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1732347814.7623317
DEBUG 2025-04-27 22:38:46,411 autoreload File E:\python3_7_9\Lib\signal.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,411 autoreload File E:\python3_7_9\Lib\asyncio\queues.py first seen with mtime 1597658264.0
DEBUG 2025-04-27 22:38:46,412 autoreload File E:\python3_7_9\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1732347814.8531814
DEBUG 2025-04-27 22:38:46,412 autoreload File E:\python3_7_9\Lib\asyncio\base_tasks.py first seen with mtime 1597658264.0
DEBUG 2025-04-27 22:38:46,412 autoreload File E:\python3_7_9\Lib\site-packages\django\urls\utils.py first seen with mtime 1732347814.8798914
DEBUG 2025-04-27 22:38:46,412 autoreload File E:\python3_7_9\Lib\site-packages\django\utils\safestring.py first seen with mtime 1732347814.912227
DEBUG 2025-04-27 22:38:46,412 autoreload File E:\python3_7_9\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1732347814.8553529
DEBUG 2025-04-27 22:38:46,412 autoreload File E:\python3_7_9\Lib\site-packages\numpy\ma\__init__.py first seen with mtime 1693740664.6942084
DEBUG 2025-04-27 22:38:46,412 autoreload File E:\python3_7_9\Lib\site-packages\django\urls\__init__.py first seen with mtime 1732347814.8749094
DEBUG 2025-04-27 22:38:46,413 autoreload File E:\python3_7_9\Lib\asyncio\__init__.py first seen with mtime 1597658264.0
DEBUG 2025-04-27 22:38:46,413 autoreload File E:\python3_7_9\Lib\site-packages\django\views\generic\list.py first seen with mtime 1732347814.9351647
DEBUG 2025-04-27 22:38:46,413 autoreload File E:\python3_7_9\Lib\site-packages\numpy\lib\arraypad.py first seen with mtime 1693740664.6395712
DEBUG 2025-04-27 22:38:46,413 autoreload File E:\python3_7_9\Lib\contextvars.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,413 autoreload File E:\python3_7_9\Lib\email\base64mime.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,414 autoreload File E:\python3_7_9\Lib\site-packages\django\utils\_os.py first seen with mtime 1732347814.8818867
DEBUG 2025-04-27 22:38:46,414 autoreload File E:\python3_7_9\Lib\site-packages\numpy\ctypeslib.py first seen with mtime 1693740664.18741
DEBUG 2025-04-27 22:38:46,414 autoreload File E:\python3_7_9\Lib\subprocess.py first seen with mtime 1740296562.6772096
DEBUG 2025-04-27 22:38:46,414 autoreload File E:\python3_7_9\Lib\ctypes\wintypes.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,414 autoreload File E:\python3_7_9\Lib\site-packages\django\urls\conf.py first seen with mtime 1732347814.8769014
DEBUG 2025-04-27 22:38:46,414 autoreload File E:\python3_7_9\Lib\email\mime\base.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,414 autoreload File E:\python3_7_9\Lib\site-packages\numpy\lib\npyio.py first seen with mtime 1693740664.6519494
DEBUG 2025-04-27 22:38:46,415 autoreload File E:\python3_7_9\Lib\site-packages\numpy\polynomial\polynomial.py first seen with mtime 1693740664.7259855
DEBUG 2025-04-27 22:38:46,415 autoreload File E:\python3_7_9\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1732347814.684497
DEBUG 2025-04-27 22:38:46,415 autoreload File E:\python3_7_9\Lib\ctypes\_endian.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,415 autoreload File E:\python3_7_9\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1732347813.0425887
DEBUG 2025-04-27 22:38:46,415 autoreload File E:\python3_7_9\DLLs\unicodedata.pyd first seen with mtime 1597661944.0
DEBUG 2025-04-27 22:38:46,415 autoreload File E:\python3_7_9\Lib\site-packages\numpy\fft\_pocketfft_internal.cp37-win_amd64.pyd first seen with mtime 1693740664.632577
DEBUG 2025-04-27 22:38:46,416 autoreload File E:\python3_7_9\Lib\site-packages\matplotlib\__init__.py first seen with mtime 1696915582.7919168
DEBUG 2025-04-27 22:38:46,416 autoreload File E:\python3_7_9\Lib\site-packages\numpy\core\numerictypes.py first seen with mtime 1693740664.4517593
