name,data,auther
菊次郎的夏天,上映时间：2020-09-25,"主演：北野武,关口雄介,岸本 加世子"
七宗罪,上映时间：1995-09-22(美国),"主演：布拉德·皮特,摩根·弗里曼,格温妮斯·帕特洛"
穿条纹睡衣的男孩,上映时间：2008-08-28(英国),"主演：阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯"
心灵捕手,上映时间：1997-12-05(美国),"主演：罗宾·威廉姆斯,马特·达蒙,明妮·德里弗"
时空恋旅人,上映时间：2013-09-04(英国),"主演：瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊"
控方证人,上映时间：1957-12-17(美国),"主演：泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿"
重庆森林,上映时间：1994-07-14(中国香港),"主演：梁朝伟,王菲,金城武"
入殓师,上映时间：2021-10-29,"主演：本木雅弘,广末凉子,山崎努"
辩护人,上映时间：2013-12-18(韩国),"主演：宋康昊,郭度沅,吴达洙"
猫鼠游戏,上映时间：2003-04-11,"主演：莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯"
复仇者联盟4：终局之战,上映时间：2019-04-24,"主演：小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛"
美国往事,上映时间：2015-04-23,"主演：罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文"
搏击俱乐部,上映时间：1999-09-10(意大利),"主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特"
美丽心灵,上映时间：2001-12-13(美国),"主演：罗素·克劳,詹妮弗·康纳利,艾德·哈里斯"
消失的爱人,上映时间：2014-09-26(美国),"主演：本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯"
乱世佳人,上映时间：1939-12-15(美国),"主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰"
窃听风暴,上映时间：2006-03-23(德国),"主演：乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克"
阿凡达,上映时间：2010-01-04,"主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹"
爱在黎明破晓前,上映时间：1995-01-27(美国),"主演：伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特"
飞屋环游记,上映时间：2009-08-04,"主演：爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井"
何以为家,上映时间：2019-04-29,"主演：赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔"
摔跤吧！爸爸,上映时间：2017-05-05,"主演：阿米尔·汗,沙克希·坦沃,法缇玛·萨那·纱卡"
忠犬八公的故事,上映时间：2009-06-13(美国),"主演：Forest,理查·基尔,琼·艾伦"
小丑,上映时间：2019-10-04(美国),"主演：华金·菲尼克斯,罗伯特·德尼罗,亚历克·鲍德温"
泰坦尼克号,上映时间：1998-04-03,"主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩"
当幸福来敲门,上映时间：2008-01-17,"主演：威尔·史密斯,贾登·史密斯,坦迪·牛顿"
天堂电影院,上映时间：2021-06-11,"主演：菲利浦·诺瓦雷,雅克·贝汉,马克·莱昂纳蒂"
熔炉,上映时间：2011-09-22(韩国),"主演：孔刘,郑裕美,金智英"
三傻大闹宝莱坞,上映时间：2011-12-08,"主演：阿米尔·汗,卡琳娜·卡普,马德哈万"
你的名字。,上映时间：2016-12-02,"主演：上白石萌音,佟心竹,神木隆之介"
末代皇帝,上映时间：1987-10-04(日本),"主演：尊龙,陈冲,彼得·奥图尔"
机器人总动员,上映时间：2008-06-27(美国),"主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林"
西西里的美丽传说,上映时间：2000-10-26 00:00:00(意大利),"主演：莫妮卡·安娜·玛丽亚·贝鲁奇,朱塞佩·苏尔法罗,玛蒂尔德·皮亚纳"
本杰明·巴顿奇事,上映时间：2008-12-25(美国),"主演：布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森"
让子弹飞,上映时间：2010-12-16,"主演：姜文,周润发,葛优"
超脱,上映时间：2011-04-25(美国),"主演：阿德里安·布劳迪,马西娅·盖伊·哈登,詹姆斯·凯恩"
一一,上映时间：2017-07-28(中国台湾),"主演：吴念真,金燕玲,李凯莉"
海蒂和爷爷,上映时间：2019-05-16,"主演：阿努克·斯特芬 ,布鲁诺·甘茨,昆林·艾格匹"
海边的曼彻斯特,上映时间：2017-08-25,"主演：卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯"
布达佩斯大饭店,上映时间：2014-02-06(德国),"主演：拉尔夫·费因斯,托尼·雷沃罗利,西尔莎·罗南"
看不见的客人,上映时间：2017-09-15,"主演：马里奥·卡萨斯,阿娜·瓦格纳,何塞·卡罗纳多"
教父,上映时间：1972-03-14(美国),"主演：马龙·白兰度,阿尔·帕西诺,詹姆斯·凯恩"
活着,上映时间：1994-05-17(法国),"主演：葛优,巩俐,牛犇"
头号玩家,上映时间：2018-03-30,"主演：泰伊·谢里丹,奥利维亚·库克,本·门德尔森"
龙猫,上映时间：2018-12-14,"主演：秦岚,糸井重里,岛本须美"
死亡诗社,上映时间：1989-06-02(加拿大),"主演：罗宾·威廉姆斯,伊桑·霍克,罗伯特·肖恩·莱纳德"
被嫌弃的松子的一生,上映时间：2006-05-27(日本),"主演：中谷美纪,永山瑛太,伊势谷友介"
三块广告牌,上映时间：2018-03-02,"主演：弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔"
闻香识女人,上映时间：1992-12-23(美国),"主演：阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔"
